max_deceleration,velocity,lead_speed_delta,Crash,initial_distance,speed_difference,CFS,PFS,reacted,ego_speed,perceived_gap,true_gap,perceived_speed,true_speed
0.05,52,25,False,26.010582010582013,0.0,0.0,1.0,True,0.02161995333425204,3.718826938241105,3.9209163298575307,0.0,0.0
0.05,52,30,False,26.010582010582013,0.0,0.0,1.0,True,0.03431922037210865,3.8483818364638127,3.925291212406674,0.0,0.0
0.05,54,0,False,27.303571428571427,0.0,0.0,0.7123051635698158,True,0.030947239706825558,3.6934637615797614,3.926237118265118,0.0,0.0
0.05,54,5,False,27.303571428571427,0.0,0.0,0.7268153766522157,True,0.061561324563285225,3.686797799012038,3.851579303471408,0.0,0.0
0.05,54,10,False,27.303571428571427,0.0,0.0,1.0,True,0.00889666274828221,3.706100384800732,3.919261353397258,0.0,0.0
0.05,54,15,False,27.303571428571427,0.0,0.0,1.0,True,0.01502658560108315,3.774315828031786,3.8347327169885945,0.0,0.0
0.05,54,20,False,27.303571428571427,0.0,0.0,1.0,True,0.0019282144724026007,3.812663577414992,3.930508321274428,0.0,0.0
0.05,54,25,False,27.303571428571427,0.0,0.0,1.0,True,0.03281214672661198,3.7175210577973816,3.866767234374916,0.0,0.0
0.05,54,30,False,27.303571428571427,0.0,0.0,1.0,True,0.03250027246566878,3.7406519458428393,3.8701982789135316,0.0,0.0
0.05,56,0,False,28.629629629629626,0.0,0.0,0.6789935562273941,True,0.010434033132535709,3.820226210329861,3.869932495757337,0.0,0.0
0.05,56,5,False,28.629629629629626,0.0,0.0,0.6962350042980279,True,0.05887023144898544,3.7416108424321353,3.854552595821258,0.0,0.0
0.05,56,10,False,28.629629629629626,0.0,0.0,0.9500037050475761,True,0.0017384341608569984,3.691237234238412,3.92353860202594,0.0,0.0
0.05,56,15,False,28.629629629629626,0.0,0.0,1.0,True,0.040331272084555794,3.700008845757094,3.8472247782139393,0.0,0.0
0.05,56,20,False,28.629629629629626,0.0,0.0,1.0,True,0.017402772530885652,3.7125119870353105,3.857675140118414,0.0,0.0
0.05,56,25,False,28.629629629629626,0.0,0.0,1.0,True,0.01983337617939511,3.659066201728348,3.8972266012595584,0.0,0.0
0.05,56,30,False,28.629629629629626,0.0,0.0,1.0,True,0.008078435050142094,3.7476954788575343,3.9322324267895086,0.0,0.0
0.05,58,0,False,29.98875661375661,0.0,0.0,0.830803148099244,True,0.052268050887682105,3.7101965591138653,3.9000618234052356,0.0,0.0
0.05,58,5,False,29.98875661375661,0.0,0.0,0.9374637208043749,True,0.011894360542553287,3.944315085126118,3.891334482200347,0.0,0.0
0.05,58,10,False,29.98875661375661,0.0,0.0,1.0,True,0.0583069783177348,3.747413978286187,3.8545061686645683,0.0,0.0
0.05,58,15,False,29.98875661375661,0.0,0.0,1.0,True,0.012280337644717282,3.7265641079438696,3.867327215019583,0.0,0.0
0.05,58,20,False,29.98875661375661,0.0,0.0,1.0,True,0.00529956607221283,3.8944695607405153,3.9387971756536446,0.0,0.0
