max_deceleration,velocity,lead_speed_delta,Crash,initial_distance,speed_difference,CFS,PFS,reacted,ego_speed,perceived_gap,true_gap,perceived_speed,true_speed
0.6000000000000001,80,30,True,47.12169312169313,6.4299352387884205,1.0,1.0,True,6.4299352387884205,-0.3004863301186047,-0.4621554107344279,0.0,0.0
0.6000000000000001,82,0,False,48.8776455026455,0.0,0.0,1.0,True,0.032074562400124296,2.7290543807783054,3.222713169977834,0.0,0.0
0.6000000000000001,82,5,False,48.8776455026455,0.0,1.0,1.0,True,0.3252507305538319,0.3743505421808466,1.3408858299901398,0.0,0.0
0.6000000000000001,82,10,False,48.8776455026455,0.0,1.0,1.0,True,0.3256502390264051,1.8351761540366427,1.1199781833543883,0.0,0.0
0.6000000000000001,82,15,False,48.8776455026455,0.0,1.0,1.0,True,0.43375762438496035,-0.3670357821023371,0.6259913442940332,0.0,0.0
0.6000000000000001,82,20,True,48.8776455026455,2.639691870344191,1.0,1.0,True,2.639691870344191,-0.6448497987281483,-0.13985282695783763,0.0,0.0
0.6000000000000001,82,25,True,48.8776455026455,5.51981657313841,1.0,1.0,True,5.51981657313841,-0.3978305269851772,-0.2415124924218217,0.0,0.0
0.6000000000000001,82,30,True,48.8776455026455,7.227623275460763,1.0,1.0,True,7.227623275460763,0.4041329754539733,-0.010297112049019397,0.0,0.0
0.6000000000000001,84,0,False,50.666666666666664,0.0,0.0,1.0,True,0.05944160032866608,3.695721341983824,3.307426764048981,0.0,0.0
0.6000000000000001,84,5,False,50.666666666666664,0.0,0.0,1.0,True,0.24060781781369012,1.304648438130653,1.869380838717146,0.0,0.0
0.6000000000000001,84,10,False,50.666666666666664,0.0,1.0,1.0,True,0.10597711691728284,0.45165593319214015,0.6371786674468582,0.0,0.0
0.6000000000000001,84,15,False,50.666666666666664,0.0,1.0,1.0,True,0.03625660472636183,0.32689136026835985,0.47972945500651765,0.0,0.0
0.6000000000000001,84,20,True,50.666666666666664,2.771848551704093,1.0,1.0,True,2.771848551704093,-0.42305265932576486,-0.07116497788074394,0.0,0.0
0.6000000000000001,84,25,True,50.666666666666664,5.607144714469303,1.0,1.0,True,5.607144714469303,0.31996727345909637,-0.12922139129560417,0.0,0.0
0.6000000000000001,84,30,True,50.666666666666664,7.359986811322694,1.0,1.0,True,7.359986811322694,-0.10356692083105923,-0.06381696942605952,0.0,0.0
0.6000000000000001,86,0,False,52.48875661375662,0.0,0.0,1.0,True,0.041841876500349984,2.6069404330286945,2.6477854327378454,0.0,0.0
0.6000000000000001,86,5,False,52.48875661375662,0.0,0.12778593997283783,1.0,True,0.005213668759747825,2.36636646986548,1.895457872210483,0.0,0.0
0.6000000000000001,86,10,False,52.48875661375662,0.0,1.0,1.0,True,0.3141071840610834,2.352628594342943,1.0580834555962584,0.0,0.0
0.6000000000000001,86,15,False,52.48875661375662,0.0,1.0,1.0,True,0.30254701988071564,0.2611312854747725,0.52960374460653,0.0,0.0
0.6000000000000001,86,20,True,52.48875661375662,2.277650218929822,1.0,1.0,True,2.277650218929822,0.3097077765318206,-0.1613561546058575,0.0,0.0
0.6000000000000001,86,25,True,52.48875661375662,6.594265573395749,1.0,1.0,True,6.594265573395749,0.21815432050132433,-0.5674652023454625,0.0,0.0
0.6000000000000001,86,30,True,52.48875661375662,6.805733319663208,1.0,1.0,True,6.805733319663208,-0.577254704921148,-0.5978652259197785,0.0,0.0
0.6000000000000001,88,0,False,54.343915343915334,0.0,0.0,1.0,True,0.1960579089150308,2.4357653877741514,2.835265413825394,0.0,0.0
0.6000000000000001,88,5,False,54.343915343915334,0.0,1.0,1.0,True,0.07557096438039379,0.9246819373370245,1.2774946510448304,0.0,0.0
0.6000000000000001,88,10,False,54.343915343915334,0.0,1.0,1.0,True,0.14634654187124918,1.5851103444105776,0.8626171484194005,0.0,0.0
0.6000000000000001,88,15,False,54.343915343915334,0.0,1.0,1.0,True,0.025680986326032884,1.3715692869868805,0.6666042142217323,0.0,0.0
0.6000000000000001,88,20,True,54.343915343915334,2.6280669518524724,1.0,1.0,True,2.6280669518524724,-0.2184381084608189,-0.14667100426976543,0.0,0.0
0.6000000000000001,88,25,True,54.343915343915334,5.888801825296584,1.0,1.0,True,5.888801825296584,0.32630731424972925,-0.0705829763676773,0.0,0.0
0.6000000000000001,88,30,True,54.343915343915334,6.939259608098961,1.0,1.0,True,6.939259608098961,-1.2308167945461888,-0.6355335785514908,0.0,0.0
0.6000000000000001,90,0,False,56.232142857142854,0.0,0.0,1.0,True,0.2599868395641998,2.6460823693252253,2.827858021166773,0.0,0.0
0.6000000000000001,90,5,False,56.232142857142854,0.0,0.9209982358094723,1.0,True,0.3181929205627536,1.1956593834046148,1.6496592808801411,0.0,0.0
0.6000000000000001,90,10,False,56.232142857142854,0.0,1.0,1.0,True,0.31737131240299976,0.017453427254761955,0.9057458714060234,0.0,0.0
0.6000000000000001,90,15,False,56.232142857142854,0.0,1.0,1.0,True,0.04663985360648992,0.6786652766794932,0.7446868001813529,0.0,0.0
0.6000000000000001,90,20,True,56.232142857142854,2.5668962998532243,1.0,1.0,True,2.5668962998532243,-0.5665321840682109,-0.047255040257044634,0.0,0.0
0.6000000000000001,90,25,True,56.232142857142854,6.032965521068251,1.0,1.0,True,6.032965521068251,-0.331562060176938,-0.03364771713988812,0.0,0.0
0.6000000000000001,90,30,True,56.232142857142854,7.094423889122735,1.0,1.0,True,7.094423889122735,-1.124974126728591,-0.7000268997831993,0.0,0.0
0.6000000000000001,92,0,False,58.15343915343915,0.0,0.0,1.0,True,0.031413039450987834,3.193316330392176,2.339705717712971,0.0,0.0
0.6000000000000001,92,5,False,58.15343915343915,0.0,0.0,1.0,True,0.22187224589230747,1.447643541424438,1.4647068941430321,0.0,0.0
0.6000000000000001,92,10,False,58.15343915343915,0.0,1.0,1.0,True,0.32471432838622705,1.202590202359727,1.0517859087599932,0.0,0.0
0.6000000000000001,92,15,False,58.15343915343915,0.0,1.0,1.0,True,0.2516734316975111,0.7839769409524964,0.39962952312091904,0.0,0.0
0.6000000000000001,92,20,True,58.15343915343915,2.106918448409134,1.0,1.0,True,2.106918448409134,0.07986851041689835,-0.17350658595130408,0.0,0.0
0.6000000000000001,92,25,True,58.15343915343915,5.561643855212626,1.0,1.0,True,5.561643855212626,-0.15773044503147826,-0.5070887329110176,0.0,0.0
0.6000000000000001,92,30,True,58.15343915343915,7.2183962604357585,1.0,1.0,True,7.2183962604357585,-1.1727638578842372,-0.6914856765510278,0.0,0.0
0.6000000000000001,94,0,False,60.10780423280423,0.0,0.20836231840880748,1.0,True,0.14310998084941096,0.8744651561103298,1.796352082732338,0.0,0.0
0.6000000000000001,94,5,False,60.10780423280423,0.0,0.20412275721358694,1.0,True,0.35903624878002627,1.9756457325186405,1.4778445532531181,0.0,0.0
0.6000000000000001,94,10,False,60.10780423280423,0.0,1.0,1.0,True,0.17058914470863107,1.3321553095195187,0.7899458119622382,0.0,0.0
0.6000000000000001,94,15,False,60.10780423280423,0.0,1.0,1.0,True,0.0824489871170162,0.5147130656212768,0.8495628319470656,0.0,0.0
0.6000000000000001,94,20,True,60.10780423280423,2.285850977937749,1.0,1.0,True,2.285850977937749,1.1768753344612408,-0.18214765059780103,0.0,0.0
0.6000000000000001,94,25,True,60.10780423280423,5.703977404455301,1.0,1.0,True,5.703977404455301,-1.3330577871436757,-0.4460989093817913,0.0,0.0
0.6000000000000001,94,30,True,60.10780423280423,7.347458911723885,1.0,1.0,True,7.347458911723885,0.32270315516599357,-0.6733354011187229,0.0,0.0
0.6000000000000001,96,0,False,62.09523809523809,0.0,0.0,1.0,True,0.28818935146676306,1.7652834865520903,2.1032372690019914,0.0,0.0
0.6000000000000001,96,5,False,62.09523809523809,0.0,0.8452503977927728,1.0,True,0.08766547301639582,1.1733326258220957,1.1616920725333815,0.0,0.0
0.6000000000000001,96,10,False,62.09523809523809,0.0,1.0,1.0,True,0.16556873086417723,1.1758417270221715,0.662328802101908,0.0,0.0
0.6000000000000001,96,15,False,62.09523809523809,0.0,1.0,1.0,True,0.28478075155212257,0.024139450629559356,0.9609368773244542,0.0,0.0
0.6000000000000001,96,20,True,62.09523809523809,2.431281816334885,1.0,1.0,True,2.431281816334885,-0.9974469547521947,-0.08046077280201569,0.0,0.0
0.6000000000000001,96,25,True,62.09523809523809,5.828411768867403,1.0,1.0,True,5.828411768867403,-0.8135250464318089,-0.33410118795652277,0.0,0.0
0.6000000000000001,96,30,True,62.09523809523809,7.486793130746266,1.0,1.0,True,7.486793130746266,-1.1824906329845843,-0.664005589705428,0.0,0.0
0.6000000000000001,98,0,False,64.11574074074073,0.0,0.26607650605849525,1.0,True,0.06421370822060396,1.4629252499475145,1.5906580117822928,0.0,0.0
0.6000000000000001,98,5,False,64.11574074074073,0.0,0.2424074138373698,1.0,True,0.35279652275671824,1.0458198113794852,1.0331912795316187,0.0,0.0
0.6000000000000001,98,10,False,64.11574074074073,0.0,1.0,1.0,True,0.3123659342760743,0.6006639646726031,0.8349393519163728,0.0,0.0
0.6000000000000001,98,15,False,64.11574074074073,0.0,1.0,1.0,True,0.26288677671496097,0.13422864017053104,0.4752793433571272,0.0,0.0
0.6000000000000001,98,20,True,64.11574074074073,1.9368242741811859,1.0,1.0,True,1.9368242741811859,0.4850745023076799,-0.07720144124870654,0.0,0.0
0.6000000000000001,98,25,True,64.11574074074073,5.952655684748711,1.0,1.0,True,5.952655684748711,-0.5622956320959842,-0.2044819519476304,0.0,0.0
0.6000000000000001,98,30,True,64.11574074074073,7.605125057618352,1.0,1.0,True,7.605125057618352,-1.6659795649479632,-0.5924299738581906,0.0,0.0
0.6000000000000001,100,0,False,66.16931216931216,0.0,0.04182205235810701,1.0,True,0.1093259178362001,1.6772640688482285,1.5820316045782024,0.0,0.0
0.6000000000000001,100,5,False,66.16931216931216,0.0,0.44259846420010773,1.0,True,0.020539614953833607,0.7535206247769795,1.0033775639759428,0.0,0.0
0.6000000000000001,100,10,False,66.16931216931216,0.0,1.0,1.0,True,0.0859788876455122,0.984117319385061,0.7610369231889083,0.0,0.0
0.6000000000000001,100,15,False,66.16931216931216,0.0,1.0,1.0,True,0.31687168081635364,0.18811665058721605,0.7464579622667857,0.0,0.0
0.6000000000000001,100,20,True,66.16931216931216,1.6715083298652975,1.0,1.0,True,1.6715083298652975,0.34803564350434346,-0.10773926545116108,0.0,0.0
0.6000000000000001,100,25,True,66.16931216931216,7.272624724941815,1.0,1.0,True,7.272624724941815,-0.7754342099775213,-0.7072211602848055,0.0,0.0
0.6000000000000001,100,30,True,66.16931216931216,7.739918382944904,1.0,1.0,True,7.739918382944904,-0.6373434674928573,-0.5427400665006301,0.0,0.0
0.6000000000000001,102,0,False,68.25595238095238,0.0,1.0,1.0,True,0.27055849981773217,0.13707839700988433,1.3033494316443468,0.0,0.0
0.6000000000000001,102,5,False,68.25595238095238,0.0,1.0,1.0,True,0.31791168375301937,0.5327516992652308,1.0694120530913098,0.0,0.0
0.6000000000000001,102,10,False,68.25595238095238,0.0,0.797885759525484,1.0,True,0.3017107597495625,0.6633847121221352,0.8706419944008958,0.0,0.0
0.6000000000000001,102,15,False,68.25595238095238,0.0,1.0,1.0,True,0.49301750650528775,-0.8976639244268112,0.317936855451177,0.0,0.0
0.6000000000000001,102,20,True,68.25595238095238,1.6783802032072561,1.0,1.0,True,1.6783802032072561,1.279574474657207,-0.15251553509824856,0.0,0.0
0.6000000000000001,102,25,True,68.25595238095238,5.595110836518543,1.0,1.0,True,5.595110836518543,-0.7417911475209875,-0.44186295320007485,0.0,0.0
0.6000000000000001,102,30,True,68.25595238095238,7.885911615729409,1.0,1.0,True,7.885911615729409,-1.7399024745884786,-0.5031759643302136,0.0,0.0
0.6000000000000001,104,0,False,70.37566137566138,0.0,0.832868334181242,1.0,True,0.2011920547507262,1.6698913222208036,1.1483747254973027,0.0,0.0
0.6000000000000001,104,5,False,70.37566137566138,0.0,1.0,1.0,True,0.3794945589197882,1.136623521500792,1.0375035109759212,0.0,0.0
0.6000000000000001,104,10,False,70.37566137566138,0.0,1.0,1.0,True,0.39361561580378024,-0.03151557610412947,0.735951238311185,0.0,0.0
0.6000000000000001,104,15,False,70.37566137566138,0.0,1.0,1.0,True,0.032068181168083965,1.868446083718621,0.9176564327167371,0.0,0.0
0.6000000000000001,104,20,True,70.37566137566138,2.0288938497062032,1.0,1.0,True,2.0288938497062032,0.17207318031260588,-0.06074067952565354,0.0,0.0
0.6000000000000001,104,25,True,70.37566137566138,5.785399937299136,1.0,1.0,True,5.785399937299136,-0.3571658245285816,-0.44793286890935047,0.0,0.0
0.6000000000000001,104,30,True,70.37566137566138,8.003785937657167,1.0,1.0,True,8.003785937657167,0.13501243171974142,-0.38884895917844897,0.0,0.0
0.6000000000000001,106,0,False,72.52843915343914,0.0,0.5097889396321719,1.0,True,0.3214642708291622,2.342967010557783,1.2092394212631747,0.0,0.0
0.6000000000000001,106,5,False,72.52843915343914,0.0,1.0,1.0,True,0.28752124570925,0.3233901381899047,1.036964998786897,0.0,0.0
0.6000000000000001,106,10,False,72.52843915343914,0.0,1.0,1.0,True,0.16190425153128507,1.494250929492563,0.8338772036899345,0.0,0.0
0.6000000000000001,106,15,False,72.52843915343914,0.0,1.0,1.0,True,0.1724510207461455,0.5356114402342316,1.014041546339553,0.0,0.0
0.6000000000000001,106,20,True,72.52843915343914,1.395039794290152,1.0,1.0,True,1.395039794290152,-0.09872566463440346,-0.11018343165847266,0.0,0.0
0.6000000000000001,106,25,True,72.52843915343914,5.921616726477582,1.0,1.0,True,5.921616726477582,-0.626415369774139,-0.29833078529670143,0.0,0.0
0.6000000000000001,106,30,True,72.52843915343914,9.305189613851319,1.0,1.0,True,9.305189613851319,-0.40521513844400925,-0.24310350859583973,0.0,0.0
0.6000000000000001,108,0,False,74.71428571428571,0.0,1.0,1.0,True,0.26466584639731017,0.3799868779482667,0.822060900577708,0.0,0.0
